timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 30, 2025 @ 15:11:16.517",ubuntu-endpoint-01,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Dec 30, 2025 @ 15:09:55.684",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:57.676",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:39.674",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:35.673",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:29.672",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:25.671",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:19.670",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:08:15.667",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:07:19.658",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:07:15.657",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:07:09.657",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:07:08.933",ubuntu,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Dec 30, 2025 @ 15:07:05.650",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:53.649",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:47.648",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:43.647",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:37.643",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:33.642",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:27.641",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:21.640",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:17.639",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:11.638",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:07.634",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:06:01.632",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:49.630",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:43.628",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:39.628",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:33.627",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:29.626",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:23.625",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:19.621",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:05:13.620",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:04:29.614",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:04:23.613",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:04:19.613",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 15:04:13.612",ubuntu,Apparmor DENIED,3,52002
